,ParentLocation,Location,Period,Alcohol_Low,Alcohol_High,Alcohol_value,Deaths_Low,Deaths_High,Deaths_value,Transform
0,South-East Asia,India,2019,4.096666667,6.953333333,5.52,10.69,19.53,15.56,0
1,South-East Asia,India,2018,4.096666667,6.953333333,5.52,10.62,19.12,15.53,0
2,South-East Asia,India,2017,4.03,6.803333333,5.44,10.52,18.34,15.16,0
3,South-East Asia,India,2016,3.983333333,6.853333333,5.416666667,10.63,18.18,15.33,0
4,South-East Asia,India,2015,4.02,6.733333333,5.436666667,10.88,18.25,15.61,0
5,South-East Asia,India,2014,3.973333333,6.633333333,5.343333333,11.13,18.72,16.11,0
6,South-East Asia,India,2013,3.856666667,6.48,5.17,11.7,19.67,17,0
7,South-East Asia,India,2012,3.673333333,6.18,4.96,11.98,20.33,17.6,0
8,South-East Asia,India,2011,3.506666667,5.856666667,4.633333333,12.08,20.15,17.43,0
9,South-East Asia,India,2010,3.176666667,5.37,4.263333333,11.93,19.86,17.18,0
10,South-East Asia,India,2009,2.733333333,4.733333333,3.746666667,12.02,19.65,17.05,0
11,South-East Asia,India,2008,2.38,4.213333333,3.24,12.1,19.8,17.15,0
12,South-East Asia,India,2007,1.926666667,3.59,2.733333333,12.04,19.26,16.66,0
13,South-East Asia,India,2006,1.68,3.31,2.446666667,11.93,18.89,16.29,0
14,South-East Asia,India,2005,1.543333333,3.22,2.316666667,11.66,18.41,15.89,0
15,South-East Asia,India,2004,1.56,3.206666667,2.306666667,11.51,18.12,15.6,0
16,South-East Asia,India,2003,1.493333333,3.14,2.296666667,11.9,18.31,15.8,0
17,South-East Asia,India,2002,1.413333333,3.133333333,2.256666667,12.39,18.98,16.34,0
18,South-East Asia,India,2001,1.39,3.066666667,2.19,12.65,19.34,16.63,0
19,South-East Asia,India,2000,1.39,3.066666667,2.19,12.85,19.57,16.86,0
20,Americas,United States of America,2019,8.77,11.52666667,10.03333333,11.59,13.5,12.67,2
21,Americas,United States of America,2018,8.77,11.52666667,10.03333333,11.45,13.33,12.55,2
22,Americas,United States of America,2017,8.716666667,11.57,10.01333333,11.67,13.52,12.78,2
23,Americas,United States of America,2016,8.633333333,11.54666667,9.956666667,11.87,13.52,12.86,2
24,Americas,United States of America,2015,8.67,11.44666667,9.896666667,11.36,12.6,12.06,2
25,Americas,United States of America,2014,8.503333333,11.39666667,9.823333333,10.76,11.78,11.32,2
26,Americas,United States of America,2013,8.476666667,11.37333333,9.78,10.91,11.88,11.43,2
27,Americas,United States of America,2012,8.373333333,11.28,9.673333333,11.41,12.36,11.91,2
28,Americas,United States of America,2011,8.25,11.03333333,9.52,11.12,12.02,11.6,2
29,Americas,United States of America,2010,8.163333333,10.86333333,9.426666667,11.23,12.13,11.7,2
30,Americas,United States of America,2009,8.05,10.91,9.473333333,11.66,12.54,12.12,2
31,Americas,United States of America,2008,8.19,10.98,9.593333333,12.92,13.88,13.42,2
32,Americas,United States of America,2007,8.33,11.22333333,9.633333333,14.36,15.46,14.92,2
33,Americas,United States of America,2006,8.326666667,11.28333333,9.62,15.03,16.15,15.61,2
34,Americas,United States of America,2005,8.28,11.18666667,9.58,15.15,16.25,15.73,2
35,Americas,United States of America,2004,8.163333333,11.05,9.553333333,15.21,16.31,15.79,2
36,Americas,United States of America,2003,8.153333333,10.97333333,9.53,15.38,16.5,15.97,2
37,Americas,United States of America,2002,8.243333333,10.98666667,9.5,15.63,16.74,16.21,2
38,Americas,United States of America,2001,8.176666667,11.06333333,9.483333333,15.13,16.22,15.7,2
39,Americas,United States of America,2000,8.176666667,11.06333333,9.483333333,15.1,16.21,15.67,2
40,Western Pacific,China,2019,4.873333333,7.213333333,6.003333333,13.21,21.6,17.36,1
41,Western Pacific,China,2018,4.873333333,7.213333333,6.003333333,13.52,21.63,17.57,1
42,Western Pacific,China,2017,5.3,7.733333333,6.49,13.69,21.47,17.78,1
43,Western Pacific,China,2016,5.573333333,8.166666667,6.863333333,14.15,21.47,18.02,1
44,Western Pacific,China,2015,5.733333333,8.406666667,7.056666667,14.35,21.47,18.25,1
45,Western Pacific,China,2014,5.813333333,8.396666667,7.093333333,14.88,21.8,18.83,1
46,Western Pacific,China,2013,5.803333333,8.413333333,7.103333333,15.27,22.65,19.62,1
47,Western Pacific,China,2012,5.69,8.366666667,7.043333333,15.84,23.29,20.33,1
48,Western Pacific,China,2011,5.8,8.41,7.17,16.1,23.6,20.7,1
49,Western Pacific,China,2010,5.583333333,8.25,6.936666667,15.56,23.04,20.27,1
50,Western Pacific,China,2009,5.2,7.736666667,6.486666667,16.05,23.1,20.48,1
51,Western Pacific,China,2008,4.563333333,6.86,5.676666667,16.23,23.04,20.51,1
52,Western Pacific,China,2007,3.946666667,6,4.976666667,16.86,23.48,20.9,1
53,Western Pacific,China,2006,3.43,5.343333333,4.39,16.91,23.4,20.74,1
54,Western Pacific,China,2005,3.143333333,4.846666667,3.98,17.28,23.43,20.78,1
55,Western Pacific,China,2004,3.006666667,4.623333333,3.813333333,17.41,23.26,20.54,1
56,Western Pacific,China,2003,2.996666667,4.606666667,3.79,18.14,24.22,21.13,1
57,Western Pacific,China,2002,2.923333333,4.533333333,3.723333333,19.05,26.02,22.12,1
